,Alaska,Arizona,Auburn,Clemson,ColoradoState,Connecticut,Cornell,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,IowaState,KState,Kentucky,LouisianaState,MU,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,MontanaState,Nebraska,Nevada,NewHampshire,NewMexico,NorthCarolina,NorthDakota,OKState,OhioState,Oregon,PennState,Purdue,RhodeIsland,Rutgers,SouthDakota,TexasA&M,UArk,UCDavis,UCRiver,UTenn,UtahState,Vermont,VirginiaTech,WashState,WestVirginia,Wisconsin,Wyoming
Massachusetts,0,4,4,3,2,0,2,4,8,9,0,0,1,4,3,3,0,5,0,4,3287,12,7,1,4,0,1,1,0,3,8,1,0,8,4,5,0,8,0,6,4,5,10,1,0,1,2,7,0,8,2
Michigan,0,44,17,26,45,5,21,11,101,96,8,2,74,96,51,35,10,96,2,18,12,4245,105,8,6,42,10,4,2,96,20,12,36,21,16,97,0,11,22,35,30,78,17,22,2,3,30,102,1,200,9
Minnesota,1,7,9,18,36,8,22,14,30,54,9,5,54,108,87,22,4,45,5,20,7,105,3927,10,15,81,3,6,1,71,78,5,30,25,19,98,1,6,38,33,26,55,9,13,4,2,9,44,1,136,19
Mississippi,0,5,32,10,5,0,0,0,44,17,0,0,5,44,14,9,7,17,0,1,1,8,10,1160,2,29,0,0,2,31,1,11,10,1,2,22,0,6,1,35,43,2,0,27,0,0,20,4,0,12,1
MontanaState,0,2,1,2,7,0,1,0,1,2,1,4,3,5,21,3,0,4,0,0,4,6,15,2,1012,10,1,3,13,8,19,2,0,0,78,3,0,2,8,3,2,16,3,1,1,0,0,19,0,12,1
Nebraska,0,19,4,16,35,4,5,15,52,26,1,1,87,101,102,14,1,73,1,3,0,42,81,29,10,3014,6,0,1,20,23,8,17,7,13,54,0,0,9,42,31,24,8,16,1,2,34,28,0,89,10
Nevada,0,7,0,0,0,1,1,0,3,4,2,0,7,0,1,0,2,4,0,2,1,10,3,0,1,6,380,0,0,0,0,1,2,3,1,1,2,0,2,0,0,7,1,8,0,0,1,2,0,6,13
NewHampshire,0,0,0,2,1,0,1,0,12,2,2,0,3,3,2,0,0,0,0,1,1,4,6,0,3,0,0,263,2,1,0,0,0,2,2,2,0,0,0,0,1,7,0,0,0,2,0,4,0,0,0
NewMexico,0,4,4,1,3,0,0,0,6,9,3,1,4,2,9,1,0,0,0,0,0,2,1,2,13,1,0,2,731,10,0,1,2,0,1,5,0,1,1,42,5,5,2,3,1,0,4,8,0,3,1
NorthCarolina,0,14,34,82,19,3,12,30,142,115,8,2,55,54,48,24,6,52,5,15,3,96,71,31,8,20,0,1,10,3877,14,25,34,20,22,136,10,36,18,71,63,69,16,78,0,1,76,31,0,105,2
NorthDakota,0,3,2,4,8,0,5,1,15,19,1,4,11,10,22,5,2,0,1,3,8,20,78,1,19,23,0,0,0,14,1505,4,6,12,2,10,1,2,25,2,5,14,0,0,1,0,1,60,1,14,0
OKState,0,6,1,1,3,0,2,0,22,27,7,0,6,1,57,2,1,22,0,2,1,12,5,11,2,8,1,0,1,25,4,1004,1,9,3,2,0,0,1,18,10,4,4,2,1,0,5,12,3,15,0
OhioState,0,6,7,4,0,0,0,1,19,15,5,0,30,18,16,23,2,10,0,3,0,36,30,10,0,17,2,0,2,34,6,1,1465,3,6,27,0,0,1,6,8,8,2,3,0,0,16,3,5,24,0
Oregon,1,9,4,2,16,2,8,4,28,12,4,9,9,10,12,3,0,9,0,4,8,21,25,1,0,7,3,2,0,20,12,9,3,1842,6,16,0,12,2,6,2,22,5,6,2,3,20,45,3,22,7
PennState,0,5,2,8,6,2,9,4,27,13,1,2,9,9,8,7,9,13,0,6,4,16,19,2,78,13,1,2,1,22,2,3,6,6,1792,16,7,3,2,12,5,20,10,23,1,0,9,8,1,29,0
Purdue,0,13,19,11,14,1,6,19,26,34,9,4,81,84,88,28,7,57,0,13,5,97,98,22,3,54,1,2,5,136,10,2,27,16,16,3573,1,36,7,26,41,22,7,34,0,1,25,17,6,99,3
RhodeIsland,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,10,1,0,0,0,7,1,197,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Rutgers,0,3,7,0,3,2,1,1,27,15,1,0,0,4,3,0,0,9,0,2,8,11,6,6,2,0,0,0,1,36,2,0,0,12,3,36,1,1917,1,7,0,5,9,17,0,0,13,3,0,15,0
SouthDakota,0,0,3,0,2,0,5,1,3,2,0,3,14,11,29,9,4,6,0,4,0,22,38,1,8,9,2,0,1,18,25,1,1,2,2,7,0,1,591,4,6,6,0,1,2,0,0,6,2,14,0
TexasA&M,0,18,16,37,8,3,4,16,46,50,0,2,43,27,43,10,3,30,0,10,6,35,33,35,3,42,0,0,42,71,2,18,6,6,12,26,0,7,4,3282,56,26,11,47,17,0,30,41,1,42,2
UArk,0,4,14,17,10,0,0,1,36,27,1,3,26,22,26,21,4,111,0,3,4,30,26,43,2,31,0,1,5,63,5,10,8,2,5,41,0,0,6,56,1397,15,3,25,0,0,32,14,0,19,0
UCDavis,0,27,1,12,36,19,28,10,90,60,24,4,34,70,47,4,7,53,2,25,5,78,55,2,16,24,7,7,5,69,14,4,8,22,20,22,0,5,6,26,15,7059,86,21,11,10,19,47,2,53,17
UCRiver,1,12,0,3,5,1,5,5,30,9,1,1,6,6,9,2,1,9,0,2,10,17,9,0,3,8,1,0,2,16,0,4,2,5,10,7,0,9,0,11,3,86,1870,6,1,0,9,12,0,16,1
UTenn,0,12,10,12,5,11,3,2,23,48,17,0,19,30,6,19,1,43,1,4,1,22,13,27,1,16,8,0,3,78,0,2,3,6,23,34,1,17,1,47,25,21,6,2381,1,0,23,18,10,25,1
UtahState,0,2,0,2,2,0,0,0,9,4,0,0,0,6,4,0,0,0,0,1,0,2,4,0,1,1,0,0,1,0,1,1,0,2,1,0,0,0,2,17,0,11,1,1,732,1,3,4,1,1,0
Vermont,2,3,0,0,1,0,1,0,12,3,1,0,0,0,0,0,0,4,0,0,1,3,2,0,0,2,0,2,0,1,0,0,0,3,0,1,0,0,0,0,0,10,0,0,1,385,3,2,1,3,0
VirginiaTech,0,4,36,15,10,1,11,6,27,28,3,4,12,15,6,12,0,34,0,8,2,30,9,20,0,34,1,0,4,76,1,5,16,20,9,25,0,13,0,30,32,19,9,23,3,3,1873,15,2,27,1
WashState,0,15,5,63,17,10,17,4,46,27,1,19,22,36,45,7,4,28,0,11,7,102,44,4,19,28,2,4,8,31,60,12,3,45,8,17,0,3,6,41,14,47,12,18,4,2,15,3556,3,29,2
WestVirginia,0,4,0,0,2,0,0,0,2,9,1,0,8,6,1,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,1,3,5,3,1,6,0,0,2,1,0,2,0,10,1,1,2,3,450,13,0
Wisconsin,0,11,14,15,14,6,22,16,55,62,7,7,68,95,34,28,5,67,3,5,8,200,136,12,12,89,6,0,3,105,14,15,24,22,29,99,0,15,14,42,19,53,16,25,1,3,27,29,13,4273,0
Wyoming,0,2,0,0,22,1,0,0,4,0,0,0,2,3,9,1,0,0,4,1,2,9,19,1,1,10,13,0,1,2,0,0,0,7,0,3,0,0,0,2,0,17,1,1,0,0,1,2,0,0,279
